d_loss,g_loss
52.479427337646484,-2.1841158866882324
6.507407188415527,-9.369804382324219
2.347537040710449,-6.755738735198975
14.757765769958496,-19.843647003173828
6.413942813873291,-12.571624755859375
13.599331855773926,-19.62424659729004
-2.4280595779418945,-1.6427496671676636
4.0567145347595215,-12.461142539978027
10.603089332580566,-22.433605194091797
-4.859296798706055,-11.228362083435059
-0.6721602082252502,-21.461139678955078
-2.494952440261841,-26.447107315063477
-13.733109474182129,-17.579713821411133
-11.225783348083496,-24.723127365112305
-0.0014564704615622759,-47.51719665527344
-15.618602752685547,-27.5347843170166
-26.2667179107666,-27.133573532104492
-41.326107025146484,-2.591731548309326
-10.038572311401367,-47.60536193847656
-1.7754271030426025,-56.932655334472656
-11.823394775390625,-53.76286697387695
-22.116352081298828,-45.3929443359375
-20.758481979370117,-43.175018310546875
-34.43551254272461,-45.3276481628418
-38.467872619628906,-23.810527801513672
-6.8917036056518555,-66.9519271850586
-35.665802001953125,-38.108375549316406
-74.57049560546875,8.77450180053711
-66.57433319091797,-17.462289810180664
-45.259033203125,-47.173683166503906
-24.931718826293945,-64.75848388671875
-23.105422973632812,62.5498161315918
20.070173263549805,10.546625137329102
-24.85418701171875,37.75682067871094
-5.932039737701416,10.895132064819336
-27.950956344604492,44.99476623535156
-67.89897155761719,77.86177062988281
-126.90363311767578,114.66595458984375
-98.59120178222656,43.654197692871094
-25.509620666503906,-31.3691463470459
-33.10030746459961,27.750930786132812
14.909733772277832,-15.645981788635254
-15.20684814453125,11.123699188232422
15.022063255310059,-33.34337615966797
3.5514910221099854,-67.73342895507812
-36.84842300415039,-88.33631896972656
-45.073604583740234,-74.82485961914062
-52.86859893798828,-68.40709686279297
-109.3698501586914,-11.77648639678955
-182.52960205078125,61.946067810058594
