epoch,d_loss,g_loss
0,7.187950611114502,11.487202644348145
1,5.770813941955566,29.328115463256836
2,3.2964749336242676,56.71012496948242
3,0.6140838861465454,40.37116622924805
4,0.11731600016355515,46.274051666259766
5,-0.1177799180150032,3.3970673084259033
6,-0.611526370048523,-41.52067565917969
7,-0.1858283281326294,-10.415141105651855
8,-0.1257321685552597,97.7358627319336
9,0.852401077747345,145.7225799560547
10,0.7056165337562561,89.60501861572266
11,-0.9675400257110596,2.381312131881714
12,-0.5467180609703064,-164.94276428222656
13,1.7934693098068237,-114.53268432617188
14,1.3450433015823364,-81.10112762451172
15,-0.29583656787872314,-65.51605224609375
